Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"4p6.6f"	"2F*"	"7/2"	""	"0.3488030"	""	"0.0000005"	"L3465"
"4p6.6g"	"2G"	"9/2"	""	"0.3496427"	""	"0.0000005"	"L3465"
"4p6.6g"	"2G"	"7/2"	""	"0.3496427"	""	"0.0000005"	"L3465"
"4p6.9s"	"2S"	"1/2"	""	"0.3547453"	""	"0.0000005"	"L3465"
"4p6.8d"	"2D"	"3/2"	""	"0.3585326"	""	"0.0000005"	"L3465"
"4p6.8d"	"2D"	"5/2"	""	"0.3585945"	""	"0.0000005"	"L3465"
"4p6.7f"	"2F*"	"7/2"	""	"0.3638749"	""	"0.0000009"	"L3465"
"4p6.7f"	"2F*"	"5/2"	""	"0.3638749"	""	"0.0000009"	"L3465"
"4p6.7g"	"2G"	"9/2"	""	"0.3644353"	""	"0.0000005"	"L3465"
"4p6.7g"	"2G"	"7/2"	""	"0.3644353"	""	"0.0000005"	"L3465"
"4p6.10s"	"2S"	"1/2"	""	"0.3677045"	""	"0.0000005"	"L3465"
"4p6.9d"	"2D"	"3/2"	""	"0.3701576"	""	"0.0000005"	"L3465"
"4p6.9d"	"2D"	"5/2"	"["	"0.3701977"	"]"	"0.0000005"	"L3465"
"4p6.8f"	"2F*"	"7/2"	""	"0.3736464"	""	"0.0000009"	"L3465"
"4p6.8f"	"2F*"	"5/2"	""	"0.3736464"	""	"0.0000009"	"L3465"
"4p6.8g"	"2G"	"9/2"	""	"0.3740314"	""	"0.0000005"	"L3465"
"4p6.8g"	"2G"	"7/2"	""	"0.3740314"	""	"0.0000005"	"L3465"
"4p6.11s"	"2S"	"1/2"	""	"0.3762444"	""	"0.0000009"	"L3465"
"4p6.10d"	"2D"	"5/2"	""	"0.3779548"	""	"0.0000014"	"L3465"
"4p6.10d"	"2D"	"3/2"	""	"0.3779658"	""	"0.0000014"	"L3465"
"4p6.9f"	"2F*"	"7/2"	""	"0.3803296"	""	"0.0000009"	"L3465"
"4p6.9f"	"2F*"	"5/2"	""	"0.3803296"	""	"0.0000009"	"L3465"
"4p6.9g"	"2G"	"9/2"	"["	"0.3806080"	"]"	"0.0000014"	"L3465"
"4p6.9g"	"2G"	"7/2"	"["	"0.3806080"	"]"	"0.0000014"	"L3465"
"4p6.12s"	"2S"	"1/2"	""	"0.3821849"	""	"0.0000009"	"L3465"
"4p6.11d"	"2D"	"3/2"	""	"0.3833792"	""	"0.0000014"	"L3465"
"4p6.11d"	"2D"	"5/2"	""	"0.3834015"	""	"0.0000014"	"L3465"
"4p6.10f"	"2F*"	"7/2"	""	"0.3851060"	""	"0.0000009"	"L3465"
"4p6.10f"	"2F*"	"5/2"	""	"0.3851060"	""	"0.0000009"	"L3465"
"4p6.10g"	"2G"	"9/2"	""	"0.3853156"	""	"0.0000009"	"L3465"
"4p6.10g"	"2G"	"7/2"	""	"0.3853156"	""	"0.0000009"	"L3465"
"4p6.13s"	"2S"	"1/2"	""	"0.3864643"	""	"0.0000009"	"L3465"
"4p6.12d"	"2D"	"3/2"	""	"0.3873591"	""	"0.0000014"	"L3465"
"4p6.12d"	"2D"	"5/2"	""	"0.3873591"	""	"0.0000014"	"L3465"
"4p6.11f"	"2F*"	"5/2"	""	"0.3886317"	""	"0.0000009"	"L3465"
"4p6.11f"	"2F*"	"7/2"	""	"0.3886317"	""	"0.0000009"	"L3465"
"4p6.11g"	"2G"	"7/2"	""	"0.3887935"	""	"0.0000009"	"L3465"
"4p6.11g"	"2G"	"9/2"	""	"0.3887935"	""	"0.0000009"	"L3465"
"4p6.13d"	"2D"	"3/2"	""	"0.3903358"	""	"0.0000014"	"L3465"
"4p6.13d"	"2D"	"5/2"	""	"0.3903358"	""	"0.0000014"	"L3465"
"4p6.12f"	"2F*"	"5/2"	""	"0.3913158"	""	"0.0000009"	"L3465"
"4p6.12f"	"2F*"	"7/2"	""	"0.3913158"	""	"0.0000009"	"L3465"
"4p6.14d"	"2D"	"3/2"	""	"0.3926404"	""	"0.0000014"	"L3465"
"4p6.14d"	"2D"	"5/2"	""	"0.3926404"	""	"0.0000014"	"L3465"
"Sr III (4p6 1S<0>)"	"Limit"	"---"	""	"0.40535519"	""	"0.00000009"	"L13983"
